Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Zona_Centro,Zona_Este,Zona_Norte,Zona_Sur,Profesion_Administración/Servicios,Profesion_Arte,Profesion_Empresa/Finanzas,Profesion_Otros,Profesion_Salud,Profesion_Tecnico/Ing,Campanna_anno_0.0,Campanna_anno_1.0,Campanna_anno_3.0,Campanna_anno_4.0,Campanna_anno_5.0
0,1,1.0367187959428303,1,2,0,0.15347311457466806,1,1.0525573631157916,-0.10003391709767916,1.226054639879935,1,-0.6927435632636887,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1,0.8736318852860478,1,2,1,-0.4935129451833914,1,1.2312657339494952,-0.2558233929861882,0.17013106035126344,1,0.41662569822506046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0.9279941888383088,1,2,1,0.15347311457466806,1,-0.5472946124178989,0.05528772252690044,-0.5338179926678509,0,0.7326278514976132,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,-0.8115995248340387,0,1,0,0.8004591743327275,2,-0.8899224743763896,0.0033578972307307525,-0.5338179926678509,0,1.6537405110367565,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.22128424265891755,0,2,1,-0.4935129451833914,1,-0.7426545844505738,-0.11827953139092796,-0.5338179926678509,1,-0.8608298150044082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,1.525979527913178,0,2,0,-1.1404990049414507,1,0.9137281660009797,-0.6740690129391225,2.6339527459181635,0,0.4031787980858029,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,-0.15925188220690847,1,2,0,1.4474452340907868,1,1.5991250051823591,-0.30868889081021683,-0.5338179926678509,0,0.9679486039346207,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,-0.6485126141772561,0,1,0,2.0944312938488463,2,-1.0516687904294464,-0.3624900611621043,-0.5338179926678509,0,-1.1701085182073323,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,-0.9746864354908213,1,0,0,1.4474452340907868,2,-0.9818731806581658,0.03563859944186326,-0.5338179926678509,0,-1.5331748219672865,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,-0.32233879286369105,1,2,0,-0.4935129451833914,2,-0.2784135876338346,-0.2764081885990843,0.17013106035126344,0,0.7057340512190982,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,1,-0.4854257035204736,1,1,1,0.8004591743327275,2,-0.7962783849218367,-0.2441274863879518,-0.5338179926678509,0,2.0033599146574534,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,-0.9746864354908213,1,0,0,-0.4935129451833914,2,-0.7489483252427273,-0.22260701824719678,-0.5338179926678509,0,0.9477782537257343,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0.438733456867961,1,2,0,-1.1404990049414507,1,-0.9308741241047067,-0.43874737218260573,-0.5338179926678509,0,-0.19520825811115877,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1,0.33000884976343925,1,2,0,-1.1404990049414507,1,-0.6868011628018215,-0.274069007279437,-0.5338179926678509,0,-1.1701085182073323,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,0.49309576042022185,1,2,0,-1.1404990049414507,1,0.27470180270080297,-0.34705146445243223,0.17013106035126344,0,-1.3314713198784232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0,0.5474580639724826,1,2,0,-1.1404990049414507,1,1.1816496069871372,-0.47523860076910335,0.17013106035126344,1,-1.2575133691125064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,-0.05052727510238675,1,2,1,-0.4935129451833914,1,1.7716243043825481,-0.45699298647585457,0.17013106035126344,1,0.006495243977704711,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,-0.10488957865464761,1,2,0,-0.4935129451833914,1,1.547702602835706,-0.2647122820008479,0.17013106035126344,1,0.369561547737659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,-0.43106339996821275,1,1,0,-1.1404990049414507,2,1.766685270128616,-0.2871684226694618,0.17013106035126344,0,1.9899130145181956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,-0.43106339996821275,1,1,0,-0.4935129451833914,2,-0.7915651350909415,-0.028922804980401753,-0.5338179926678509,0,-0.5717214620103707,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,-0.21361418575916932,1,2,0,-1.1404990049414507,1,-0.4122190813360755,-0.35172982709172684,0.17013106035126344,0,1.2301631566501432,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0.22128424265891755,1,2,1,0.15347311457466806,1,0.8520325724061477,0.05528772252690044,1.226054639879935,0,0.11407044509176524,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,-0.8115995248340387,0,1,0,-0.4935129451833914,2,-0.9258504206921357,-0.13652514568417679,-0.5338179926678509,0,0.4367960484339468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.5474580639724826,1,2,0,-1.1404990049414507,1,1.8156804899276227,0.06464444780548957,0.17013106035126344,0,0.25526289655396966,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0.438733456867961,1,2,0,-1.1404990049414507,1,-0.6407693635551741,-0.18237309954926353,-0.5338179926678509,0,0.7326278514976132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0.11255963555439583,1,2,1,-0.4935129451833914,1,0.1957901468494076,-0.2829578962940967,0.17013106035126344,0,-1.613856222802832,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,-0.6485126141772561,1,1,0,1.4474452340907868,2,-1.0737956638870623,-0.42705146558436935,-0.5338179926678509,0,-1.6609203732902333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,-0.21361418575916932,1,2,0,-0.4935129451833914,1,-0.32241332707314985,-0.4055309974436143,0.17013106035126344,0,1.0015658542827646,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,-0.43106339996821275,1,1,0,-1.1404990049414507,2,0.004691855801554201,-0.6750046854669813,0.17013106035126344,0,1.109141055396825,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,-0.702874917729517,0,1,0,0.8004591743327275,2,-0.8788590376475817,0.17552164235677079,-0.5338179926678509,0,0.12079389516139402,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,0.438733456867961,1,2,0,-0.4935129451833914,1,-0.9637257576565752,0.07353333682014924,-0.5338179926678509,0,1.8957847135433927,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.33000884976343925,1,2,0,-1.1404990049414507,1,-0.9702735059246451,-0.4476362611972654,-0.5338179926678509,0,1.3108445574856886,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,2.2326894740925693,0,2,0,-1.1404990049414507,0,1.7717371965940667,-0.15523859624135505,2.6339527459181635,1,0.5376477994783786,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,1.6890664385699607,1,2,1,0.8004591743327275,0,0.9762704511822001,-0.7133672591091967,1.226054639879935,0,-1.1364912678591883,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1.580341831465439,1,2,0,-0.4935129451833914,1,1.9123162229874144,-0.3746538040242702,0.17013106035126344,0,-1.23734301890362,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
