,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Zona_Centro,Zona_Este,Zona_Norte,Zona_Sur,Profesion_Administración/Servicios,Profesion_Arte,Profesion_Empresa/Finanzas,Profesion_Otros,Profesion_Salud,Profesion_Tecnico/Ing,Campanna_anno_0.0,Campanna_anno_1.0,Campanna_anno_3.0,Campanna_anno_4.0,Campanna_anno_5.0
0,0,1,1.0367187959428303,1,0.7747275092775642,-0.7276622952729892,0.15347311457466806,-0.6321422715973918,1.0525573631157916,-0.10003391709767916,1.226054639879935,1,-0.6927435632636887,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1,1,0.8736318852860478,1,0.7747275092775642,0.62935047452866,-0.4935129451833914,-0.6321422715973918,1.2312657339494952,-0.2558233929861882,0.17013106035126344,1,0.41662569822506046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1,1,0.9279941888383088,1,0.7747275092775642,0.62935047452866,0.15347311457466806,-0.6321422715973918,-0.5472946124178989,0.05528772252690044,-0.5338179926678509,0,0.7326278514976132,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1,0,-0.8115995248340387,0,-0.4735237074168937,-0.7276622952729892,0.8004591743327275,0.6624201140453978,-0.8899224743763896,0.0033578972307307525,-0.5338179926678509,0,1.6537405110367565,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,1,1,0.22128424265891755,0,0.7747275092775642,0.62935047452866,-0.4935129451833914,-0.6321422715973918,-0.7426545844505738,-0.11827953139092796,-0.5338179926678509,1,-0.8608298150044082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1,1,1.525979527913178,0,0.7747275092775642,-0.7276622952729892,-1.1404990049414507,-0.6321422715973918,0.9137281660009797,-0.6740690129391225,2.6339527459181635,0,0.4031787980858029,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,1,1,-0.15925188220690847,1,0.7747275092775642,-0.7276622952729892,1.4474452340907868,-0.6321422715973918,1.5991250051823591,-0.30868889081021683,-0.5338179926678509,0,0.9679486039346207,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,1,1,-0.6485126141772561,0,-0.4735237074168937,-0.7276622952729892,2.0944312938488463,0.6624201140453978,-1.0516687904294464,-0.3624900611621043,-0.5338179926678509,0,-1.1701085182073323,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,1,0,-0.9746864354908213,1,-1.7217749241113516,-0.7276622952729892,1.4474452340907868,0.6624201140453978,-0.9818731806581658,0.03563859944186326,-0.5338179926678509,0,-1.5331748219672865,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,1,1,-0.32233879286369105,1,0.7747275092775642,-0.7276622952729892,-0.4935129451833914,0.6624201140453978,-0.2784135876338346,-0.2764081885990843,0.17013106035126344,0,0.7057340512190982,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
